month,orders,revenue,prev_revenue,mom_growth_pct
2016-09-01,1,143.46,,
2016-10-01,265,46490.66,143.46,32306.7
2016-12-01,1,19.62,46490.66,-100.0
2017-01-01,750,127482.37,19.62,649657.2
2017-02-01,1653,271239.32,127482.37,112.8
2017-03-01,2546,414330.95,271239.32,52.8
2017-04-01,2303,390812.4,414330.95,-5.7
2017-05-01,3546,566851.4,390812.4,45.0
2017-06-01,3135,490050.37,566851.4,-13.5
2017-07-01,3872,566299.08,490050.37,15.6
2017-08-01,4193,645832.36,566299.08,14.0
2017-09-01,4150,701077.49,645832.36,8.6
2017-10-01,4478,751117.01,701077.49,7.1
2017-11-01,7289,1153364.2,751117.01,53.6
2017-12-01,5513,843078.29,1153364.2,-26.9
2018-01-01,7069,1077887.46,843078.29,27.9
2018-02-01,6555,966168.41,1077887.46,-10.4
2018-03-01,7003,1120598.24,966168.41,16.0
2018-04-01,6798,1132878.93,1120598.24,1.1
2018-05-01,6749,1128774.52,1132878.93,-0.4
2018-06-01,6099,1011978.29,1128774.52,-10.3
2018-07-01,6159,1027807.28,1011978.29,1.6
2018-08-01,6351,985491.64,1027807.28,-4.1
